partner_name,friendly_name,data_type,field_values,default_data_mapping,created_at,attribution_model
Shopping_Cart,Shopping Cart,Short Text,[],,2021-04-02T10:40:27-04:00,Last
sms_callback,Sms Callback,Short Text,[],,2025-12-17T01:02:32-05:00,Last
sms_delivery_status,Sms Delivery Status,Short Text,[],,2026-01-12T00:11:16-05:00,Last
sms_opt_in,SMS Opt-In,Short Text,[],,2026-01-12T00:28:57-05:00,Last
sms_opt_out,Sms opt-out,Short Text,[],,2026-01-12T00:08:42-05:00,Last
sms_revenue,SMS Revenue,Short Text,[],,2026-01-12T00:12:37-05:00,Last
sms_scheduled_callback_datetime,SMS Scheduled Callback Datetime,Short Text,[],,2026-07-13T16:11:39-04:00,Last
sms_session_status,SMS Session Status,Short Text,[],,2025-10-16T13:50:31-04:00,Last
support_reason,Support Reason,Short Text,[],,2026-06-25T09:43:05-04:00,Last
tealium_vid,Tealium Visitor ID,Short Text,[],,2025-02-05T19:51:47-05:00,Last
timeline,timeline,Short Text,[],,2026-05-21T18:40:39-04:00,Last
total_messages,Total Messages,Short Text,[],,2026-01-12T00:06:44-05:00,Last
Type,Type,Short Text,[],,2026-01-12T00:04:40-05:00,Last
Website_Journey,Website Journey,Long Text,[],,2020-09-23T10:45:54-04:00,Multi
years_in_business,Years in Business,Short Text,[],,2026-06-25T15:32:17-04:00,Last
zip_code,ZIP Code,Short Text,[],,2026-05-20T15:57:49-04:00,Last
